Date,Sector,Net
2017-03-24,Real Estate,0.0221
2017-03-24,Health Care,0.0678
2017-03-24,Materials,0.1459
2017-03-27,Materials,0.1474
2017-03-27,Consumer Staples,0.0435
2017-03-27,Industrials,0.1961
2017-03-27,Health Care,0.0685
2017-03-27,Currency,0
2017-03-27,Index,0.0535
2017-03-27,Real Estate,0.0219
2017-03-27,Financials,0.1976
2017-03-27,Consumer Discretionary,0.2621
2017-03-28,Health Care,0.0684
2017-03-28,Index,0.0536
2017-03-28,Currency,0
2017-03-28,Real Estate,0.0219
2017-03-28,Financials,0.1961
2017-03-28,Materials,0.1486
2017-03-28,Consumer Staples,0.0439
2017-03-28,Industrials,0.193
2017-03-28,Consumer Discretionary,0.2635
2017-03-29,Financials,0.1966
2017-03-29,Real Estate,0.0219
2017-03-29,Materials,0.1486
2017-03-29,Consumer Staples,0.0447
2017-03-29,Industrials,0.1898
2017-03-29,Index,0.0534
2017-03-29,Consumer Discretionary,0.2648
2017-03-29,Currency,0
2017-03-29,Health Care,0.0687
2017-03-30,Index,0.0529
2017-03-30,Materials,0.1492
2017-03-30,Health Care,0.0695
2017-03-30,Currency,0
2017-03-30,Consumer Staples,0.0443
2017-03-30,Financials,0.1967
2017-03-30,Real Estate,0.0221
2017-03-30,Consumer Discretionary,0.264
2017-03-30,Industrials,0.1893
2017-03-31,Index,0.0536
2017-03-31,Consumer Discretionary,0.2625
2017-03-31,Materials,0.149
2017-03-31,Real Estate,0.0222
2017-03-31,Consumer Staples,0.0444
2017-03-31,Industrials,0.1917
2017-03-31,Financials,0.1982
2017-03-31,Health Care,0.0694
2017-03-31,Currency,0
2017-04-03,Index,0.0578
2017-04-03,Currency,0
2017-04-03,Consumer Staples,0.0439
2017-04-03,Real Estate,0.0218
2017-04-03,Consumer Discretionary,0.2584
2017-04-03,Industrials,0.1906
2017-04-03,Financials,0.1958
2017-04-03,Health Care,0.0678
2017-04-03,Materials,0.1467
2017-04-04,Consumer Staples,0.0439
2017-04-04,Consumer Discretionary,0.2562
2017-04-04,Currency,0
2017-04-04,Health Care,0.0691
2017-04-04,Index,0.0634
2017-04-04,Real Estate,0.0224
2017-04-04,Financials,0.1971
2017-04-04,Materials,0.1462
2017-04-04,Industrials,0.1901
2017-04-05,Consumer Staples,0.0438
2017-04-05,Materials,0.1463
2017-04-05,Real Estate,0.0225
2017-04-05,Health Care,0.0691
2017-04-05,Consumer Discretionary,0.256
2017-04-05,Index,0.059
2017-04-05,Industrials,0.186
2017-04-05,Financials,0.2043
2017-04-05,Currency,0
2017-04-06,Materials,0.1471
2017-04-06,Industrials,0.1832
2017-04-06,Currency,0
2017-04-06,Health Care,0.0683
2017-04-06,Consumer Discretionary,0.2563
2017-04-06,Financials,0.2059
2017-04-06,Real Estate,0.0225
2017-04-06,Consumer Staples,0.044
2017-04-06,Index,0.059
2017-04-07,Consumer Staples,0.0443
2017-04-07,Industrials,0.1805
2017-04-07,Index,0.0582
2017-04-07,Consumer Discretionary,0.2598
2017-04-07,Financials,0.2073
2017-04-07,Real Estate,0.0227
2017-04-07,Currency,0
2017-04-07,Health Care,0.0671
2017-04-07,Materials,0.1467
2017-04-10,Currency,0
2017-04-10,Financials,0.2087
2017-04-10,Industrials,0.183
2017-04-10,Consumer Staples,0.0446
2017-04-10,Health Care,0.0669
2017-04-10,Real Estate,0.0226
2017-04-10,Consumer Discretionary,0.2589
2017-04-10,Materials,0.1452
2017-04-10,Index,0.058
2017-04-11,Currency,0
2017-04-11,Consumer Discretionary,0.258
2017-04-11,Health Care,0.0678
2017-04-11,Real Estate,0.0221
2017-04-11,Financials,0.2086
2017-04-11,Industrials,0.1836
2017-04-11,Materials,0.1458
2017-04-11,Index,0.0579
2017-04-11,Consumer Staples,0.0449
2017-04-12,Consumer Discretionary,0.2565
2017-04-12,Consumer Staples,0.0451
2017-04-12,Financials,0.2098
2017-04-12,Currency,0
2017-04-12,Materials,0.1452
2017-04-12,Health Care,0.0687
2017-04-12,Industrials,0.1835
2017-04-12,Index,0.058
2017-04-12,Real Estate,0.0219
2017-04-13,Real Estate,0.0223
2017-04-13,Industrials,0.1821
2017-04-13,Currency,0
2017-04-13,Materials,0.1458
2017-04-13,Financials,0.2101
2017-04-13,Health Care,0.0692
2017-04-13,Consumer Discretionary,0.2568
2017-04-13,Consumer Staples,0.0451
2017-04-13,Index,0.058
2017-04-14,Currency,0
2017-04-14,Health Care,0.0692
2017-04-14,Index,0.058
2017-04-14,Consumer Discretionary,0.2572
2017-04-14,Real Estate,0.0223
2017-04-14,Financials,0.2099
2017-04-14,Industrials,0.182
2017-04-14,Consumer Staples,0.0451
2017-04-14,Materials,0.1457
2017-04-17,Industrials,0.1853
2017-04-17,Currency,0
2017-04-17,Consumer Discretionary,0.2575
2017-04-17,Health Care,0.0684
2017-04-17,Index,0.0571
2017-04-17,Materials,0.1456
2017-04-17,Consumer Staples,0.0453
2017-04-17,Financials,0.2088
2017-04-17,Real Estate,0.0228
