Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
14-Feb-18,0.84,1.44,-1.44,,,,,,,,,
15-Feb-18,0.58,1.42,-1.43,,,,,,,,,
16-Feb-18,-0.37,1.41,-1.42,,,,,,,,,
19-Feb-18,-0.02,1.38,-1.38,,,,,,,,,
20-Feb-18,-0.44,1.38,-1.38,,,,,,,,,
21-Feb-18,0.58,1.4,-1.40,,,,,,,,,
22-Feb-18,-0.73,1.41,-1.41,,,,,,,,,
23-Feb-18,1.88,1.49,-1.49,,,,,,,,,
26-Feb-18,0.35,1.49,-1.49,,,,,,,,,
27-Feb-18,-0.3,1.49,-1.49,,,,,,,,,
28-Feb-18,-0.39,1.46,-1.46,,,,,,,,,
01-Mar-18,-0.46,1.46,-1.46,,,,,,,,,
02-Mar-18,0.06,1.45,-1.45,,,,,,,,,
05-Mar-18,-0.73,1.46,-1.46,,,,,,,,,
06-Mar-18,-0.71,1.47,-1.47,,,,,,,,,
07-Mar-18,-0.21,1.47,-1.47,,,,,,,,,
08-Mar-18,-0.31,1.45,-1.45,,,,,,,,,
09-Mar-18,0.86,1.47,-1.48,,,,,,,,,
12-Mar-18,0.62,1.46,-1.46,,,,,,,,,
13-Mar-18,-0.27,1.46,-1.46,,,,,,,,,
14-Mar-18,-0.36,1.47,-1.47,,,,,,,,,
15-Mar-18,-0.36,1.46,-1.46,,,,,,,,,
16-Mar-18,-0.48,1.45,-1.45,,,,,,,,,
19-Mar-18,-0.73,1.38,-1.38,,,,,,,,,
20-Mar-18,0.04,1.39,-1.39,,,,,,,,,
21-Mar-18,0.06,1.39,-1.39,,,,,,,,,
22-Mar-18,-0.68,1.4,-1.40,,,,,,,,,
23-Mar-18,-0.68,1.4,-1.40,,,,,,,,,
26-Mar-18,0.88,1.43,-1.43,,,,,,,,,
27-Mar-18,0.64,1.49,-1.49,,,,,,,,,
28-Mar-18,-0.5,1.49,-1.49,,,,,,,,,
29-Mar-18,0.55,1.46,-1.47,,,,,,,,,
30-Mar-18,0.05,1.46,-1.46,,,,,,,,,
02-Apr-18,-0.06,1.48,-1.48,,,,,,,,,
03-Apr-18,0.14,1.47,-1.47,,,,,,,,,
04-Apr-18,0.03,1.49,-1.49,,,,,,,,,
05-Apr-18,1.74,1.54,-1.54,,,,,,,,,
06-Apr-18,-0.17,1.53,-1.53,,,,,,,,,
09-Apr-18,0.41,1.58,-1.58,,,,,,,,,
10-Apr-18,0.4,1.57,-1.58,,,,,,,,,
11-Apr-18,0.3,1.57,-1.57,,,,,,,,,
12-Apr-18,-0.15,1.59,-1.59,,,,,,,,,
13-Apr-18,0.15,1.59,-1.59,,,,,,,,,
16-Apr-18,-0.2,1.59,-1.59,,,,,,,,,
17-Apr-18,-0.51,1.61,-1.61,,,,,,,,,
18-Apr-18,0.14,1.61,-1.61,,,,,,,,,
19-Apr-18,-0.3,1.63,-1.63,,,,,,,,,
20-Apr-18,-0.5,1.64,-1.64,,,,,,,,,
23-Apr-18,-1.04,1.73,-1.73,,,,,,,,,
24-Apr-18,-0.2,1.7,-1.70,,,,,,,,,
25-Apr-18,-1.04,1.72,-1.72,,,,,,,,,
26-Apr-18,0.49,1.74,-1.74,,,,,,,,,
27-Apr-18,1.13,1.79,-1.79,,,,,,,,,
30-Apr-18,0.6,1.76,-1.76,,,,,,,,,
01-May-18,-0.19,1.75,-1.75,,,,,,,,,
02-May-18,-1.19,1.78,-1.78,,,,,,,,,
03-May-18,-1.13,1.69,-1.69,,,,,,,,,
04-May-18,-0.99,1.69,-1.69,,,,,,,,,
07-May-18,0.13,1.66,-1.66,,,,,,,,,
08-May-18,-0.13,1.66,-1.66,,,,,,,,,
09-May-18,-0.94,1.67,-1.67,,,,,,,,,
10-May-18,0.61,1.68,-1.68,,,,,,,,,
11-May-18,0.28,1.64,-1.64,,,,,,,,,
14-May-18,-0.94,1.63,-1.63,,,,,,,,,
15-May-18,-1.27,1.66,-1.66,,,,,,,,,
16-May-18,0.38,1.67,-1.67,,,,,,,,,
17-May-18,-0.72,1.68,-1.68,,,,,,,,,
18-May-18,-1.74,1.72,-1.72,,,,,,,,,
21-May-18,-0.05,1.73,-1.73,,,,,,,,,
22-May-18,1.05,1.77,-1.77,,,,,,,,,
23-May-18,-0.83,1.78,-1.78,,,,,,,,,
24-May-18,-0.29,1.69,-1.69,,,,,,,,,
25-May-18,0.83,1.71,-1.71,,,,,,,,,
28-May-18,0.08,1.71,-1.71,,,,,,,,,
29-May-18,-0.42,1.71,-1.71,,,,,,,,,
30-May-18,-0.33,1.7,-1.71,,,,,,,,,
31-May-18,0.39,1.7,-1.70,,,,,,,,,
01-Jun-18,0.01,1.7,-1.70,,,,,,,,,
04-Jun-18,0.61,1.7,-1.70,,,,,,,,,
05-Jun-18,-0.67,1.7,-1.70,,,,,,,,,
06-Jun-18,0.04,1.72,-1.72,,,,,,,,,
07-Jun-18,-0.88,1.7,-1.70,,,,,,,,,
08-Jun-18,0.79,1.73,-1.73,,,,,,,,,
11-Jun-18,-0.34,1.73,-1.73,,,,,,,,,
12-Jun-18,0.62,1.75,-1.75,,,,,,,,,
13-Jun-18,0.2,1.76,-1.76,,,,,,,,,
14-Jun-18,-0.38,1.76,-1.76,,,,,,,,,
15-Jun-18,-0.21,1.74,-1.74,,,,,,,,,
18-Jun-18,-0.52,1.75,-1.75,,,,,,,,,
19-Jun-18,-0.74,1.78,-1.78,,,,,,,,,
20-Jun-18,0.2,1.77,-1.77,,,,,,,,,
21-Jun-18,-0.9,1.74,-1.74,,,,,,,,,
22-Jun-18,0.89,1.76,-1.76,,,,,,,,,
25-Jun-18,0.76,1.71,-1.71,,,,,,,,,
26-Jun-18,-0.44,1.7,-1.70,,,,,,,,,
27-Jun-18,-1.7,1.76,-1.76,,,,,,,,,
28-Jun-18,-1,1.79,-1.79,,,,,,,,,
29-Jun-18,1.73,1.89,-1.90,,,,,,,,,
02-Jul-18,-0.89,1.91,-1.91,,,,,,,,,
03-Jul-18,0.63,1.93,-1.93,,,,,,,,,
04-Jul-18,0.23,1.87,-1.87,,,,,,,,,
05-Jul-18,0.03,1.87,-1.87,,,,,,,,,
06-Jul-18,0.66,1.87,-1.87,,,,,,,,,
09-Jul-18,1.3,1.89,-1.89,,,,,,,,,
10-Jul-18,0.53,1.89,-1.89,,,,,,,,,
11-Jul-18,-0.73,1.89,-1.89,,,,,,,,,
12-Jul-18,0.77,1.94,-1.94,,,,,,,,,
13-Jul-18,0.37,1.91,-1.91,,,,,,,,,
16-Jul-18,-0.48,1.93,-1.93,,,,,,,,,
17-Jul-18,0.9,1.95,-1.95,,,,,,,,,
18-Jul-18,-0.63,1.93,-1.93,,,,,,,,,
19-Jul-18,-1.1,1.97,-1.97,,,,,,,,,
20-Jul-18,1.41,2.04,-2.04,,,,,,,,,
23-Jul-18,0.13,2.02,-2.02,,,,,,,,,
24-Jul-18,0.61,2,-2.00,,,,,,,,,
25-Jul-18,0.21,1.98,-1.98,,,,,,,,,
26-Jul-18,-0.3,1.94,-1.94,,,,,,,,,
27-Jul-18,0.03,1.91,-1.91,,,,,,,,,
30-Jul-18,-0.02,1.9,-1.90,,,,,,,,,
31-Jul-18,-0.2,1.9,-1.90,,,,,,,,,
01-Aug-18,0.64,1.88,-1.88,,,,,,,,,
02-Aug-18,-1.09,1.89,-1.89,,,,,,,,,
03-Aug-18,0.81,1.9,-1.91,,,,,,,,,
06-Aug-18,-0.37,1.92,-1.92,,,,,,,,,
07-Aug-18,0.41,1.93,-1.93,,,,,,,,,
08-Aug-18,-0.17,1.89,-1.89,,,,,,,,,
09-Aug-18,0.44,1.9,-1.90,,,,,,,,,
10-Aug-18,-1.65,1.92,-1.92,,,,,,,,,
13-Aug-18,-1.02,1.91,-1.91,,,,,,,,,
14-Aug-18,0.76,1.93,-1.93,,,,,,,,,
15-Aug-18,-0.89,1.88,-1.88,,,,,,,,,
16-Aug-18,-0.41,1.87,-1.87,,,,,,,,,
17-Aug-18,0.73,1.75,-1.75,,,,,,,,,
20-Aug-18,0.8,1.77,-1.77,,,,,,,,,
21-Aug-18,-0.1,1.75,-1.75,,,,,,,,,
22-Aug-18,0.18,1.72,-1.72,,,,,,,,,
23-Aug-18,0,1.7,-1.70,,,,,,,,,
24-Aug-18,0.14,1.68,-1.68,,,,,,,,,
27-Aug-18,1.39,1.72,-1.72,,,,,,,,,
28-Aug-18,-0.06,1.72,-1.72,,,,,,,,,
29-Aug-18,-0.13,1.73,-1.73,,,,,,,,,
30-Aug-18,-1.02,1.77,-1.77,,,,,,,,,
31-Aug-18,0.24,1.79,-1.79,,,,,,,,,
03-Sep-18,-1,1.8,-1.80,,,,,,,,,
04-Sep-18,-0.92,1.81,-1.81,,,,,,,,,
05-Sep-18,-1.38,1.89,-1.89,,,,,,,,,
06-Sep-18,-0.32,1.88,-1.88,,,,,,,,,
07-Sep-18,1.44,1.94,-1.94,,,,,,,,,
10-Sep-18,-1.34,1.98,-1.98,,,,,,,,,
11-Sep-18,-1.26,2.03,-2.03,,,,,,,,,
12-Sep-18,0.27,2.03,-2.03,,,,,,,,,
13-Sep-18,0.67,2.04,-2.04,,,,,,,,,
14-Sep-18,1.09,2.03,-2.03,,,,,,,,,
17-Sep-18,-0.92,2.05,-2.05,,,,,,,,,
18-Sep-18,0.52,2.04,-2.04,,,,,,,,,
19-Sep-18,0.22,2.05,-2.05,,,,,,,,,
20-Sep-18,0.21,2.01,-2.02,,,,,,,,,
21-Sep-18,0.6,2.01,-2.01,,,,,,,,,
24-Sep-18,-2.41,2.15,-2.15,,,,,,,,,
25-Sep-18,0.58,2.16,-2.16,,,,,,,,,
26-Sep-18,-0.32,2.1,-2.10,,,,,,,,,
27-Sep-18,0.17,2.06,-2.06,,,,,,,,,
28-Sep-18,-1.19,2,-2.00,,,,,,,,,
01-Oct-18,0.44,1.99,-1.99,,,,,,,,,
02-Oct-18,-0.43,2.02,-2.02,,,,,,,,,
03-Oct-18,-0.51,2.03,-2.03,,,,,,,,,
04-Oct-18,-1.95,2.18,-2.18,,,,,,,,,
05-Oct-18,-1.74,2.26,-2.26,,,,,,,,,
08-Oct-18,0.21,2.22,-2.22,,,,,,,,,
09-Oct-18,0.12,2.23,-2.23,,,,,,,,,
10-Oct-18,0.54,2.25,-2.25,,,,,,,,,
11-Oct-18,-2.71,2.42,-2.42,,,,,,,,,
12-Oct-18,2.33,2.57,-2.57,,,,,,,,,
15-Oct-18,-0.73,2.57,-2.58,,,,,,,,,
16-Oct-18,1.48,2.6,-2.60,,,,,,,,,
17-Oct-18,-0.47,2.57,-2.57,,,,,,,,,
18-Oct-18,-0.87,2.56,-2.56,,,,,,,,,
19-Oct-18,-0.01,2.52,-2.52,,,,,,,,,
22-Oct-18,0.4,2.55,-2.55,,,,,,,,,
23-Oct-18,-0.76,2.57,-2.57,,,,,,,,,
24-Oct-18,-1.21,2.6,-2.60,,,,,,,,,
25-Oct-18,0.23,2.6,-2.60,,,,,,,,,
26-Oct-18,0.51,2.62,-2.62,,,,,,,,,
29-Oct-18,-0.41,2.62,-2.63,,,,,,,,,
30-Oct-18,0.38,2.59,-2.59,,,,,,,,,
31-Oct-18,0.69,2.58,-2.58,,,,,,,,,
01-Nov-18,1.14,2.41,-2.41,,,,,,,,,
02-Nov-18,1.68,2.53,-2.53,,,,,,,,,
05-Nov-18,0.49,2.53,-2.54,,,,,,,,,
06-Nov-18,-0.65,2.57,-2.57,,,,,,,,,
07-Nov-18,0.47,2.57,-2.57,,,,,,,,,
08-Nov-18,-1.31,2.65,-2.65,,,,,,,,,
09-Nov-18,0.4,2.63,-2.63,,,,,,,,,
12-Nov-18,-1.31,2.6,-2.60,,,,,,,,,
13-Nov-18,0.18,2.62,-2.62,,,,,,,,,
14-Nov-18,-0.14,2.54,-2.54,,,,,,,,,
15-Nov-18,0.32,2.54,-2.54,,,,,,,,,
16-Nov-18,0.88,2.57,-2.57,,,,,,,,,
19-Nov-18,0.39,2.57,-2.57,,,,,,,,,
20-Nov-18,0,2.59,-2.59,,,,,,,,,
21-Nov-18,0.48,2.57,-2.57,,,,,,,,,
22-Nov-18,0.59,2.56,-2.56,,,,,,,,,
23-Nov-18,-0.45,2.58,-2.58,,,,,,,,,
26-Nov-18,-0.41,2.55,-2.55,,,,,,,,,
27-Nov-18,0.66,2.55,-2.55,,,,,,,,,
